,drvmax
0,31.403261184692383
1,87.33854675292969
2,45.66138458251953
3,2.0415878295898438
4,22.094703674316406
5,6.031824111938477
6,25.88707733154297
7,22.01975440979004
8,139.29855346679688
9,56.12114715576172
10,152.72027587890625
11,25.88108253479004
12,3.3606739044189453
13,43.47889709472656
14,35.60035705566406
15,20.988468170166016
16,11.754861831665039
17,37.91475296020508
18,74.30955505371094
19,73.74894714355469
20,52.86540603637695
21,42.98124694824219
22,43.42793273925781
23,24.45107078552246
24,22.499427795410156
25,32.50349807739258
26,18.889923095703125
27,16.179798126220703
28,1.4719820022583008
29,4.373973846435547
30,22.172653198242188
31,7.01214599609375
32,100.91314697265625
33,59.70966720581055
34,44.46521759033203
35,148.06149291992188
36,25.413408279418945
37,80.94696044921875
38,14.399036407470703
39,155.36744689941406
40,44.800987243652344
41,10.180953025817871
42,17.990524291992188
43,7.980480194091797
44,20.511798858642578
45,92.91767883300781
46,9.281585693359375
47,85.43785095214844
48,47.04343795776367
49,51.73219299316406
50,18.755020141601562
51,19.4625244140625
52,16.056884765625
53,23.34783935546875
54,20.44884490966797
55,17.75370979309082
56,3.5615310668945312
57,4.221076965332031
58,5.992851257324219
59,4.9225921630859375
60,32.93819808959961
61,2.5002670288085938
62,28.387348175048828
63,4.4759016036987305
64,32.64739990234375
65,123.59843444824219
66,47.870853424072266
67,34.48812484741211
68,52.02897644042969
69,14.039276123046875
70,50.85979461669922
71,40.8017578125
72,20.259979248046875
73,41.57221984863281
74,39.11991882324219
75,16.056884765625
76,90.29148864746094
77,37.668922424316406
78,11.092323303222656
79,163.1051025390625
80,6.670383453369141
81,32.251678466796875
82,139.76625061035156
83,7.635711669921875
84,31.9368896484375
85,8.580066680908203
86,22.910140991210938
87,14.827735900878906
88,12.330464363098145
89,52.29279327392578
90,13.544624328613281
91,24.43608283996582
92,136.68438720703125
93,14.084251403808594
94,11.089324951171875
95,8.807902336120605
96,28.564224243164062
97,10.411792755126953
98,129.8760986328125
99,16.482589721679688
